# (c) 2008-2009, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://www.ieeta.pt/~tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://www.ieeta.pt/~tos/primes.html
#
# pi(x) is the number of primes not larger than x
# li(x) is the principal value of the integral of 1/log between 0 and x
# NdM is the exponential notation for the number N*10^M
#
# Last update made on December 7, 2008

    x                  pi(x)                      li(x)
----- ---------------------- -----------------------------
 1d22  201467286689315906290  201467286691248261498.150...
 2d22  397382840070993192736  397382840073725482356.254...
 3d22  591308502828791273105  591308502831976972920.872...
 4d22  783964159847056303858  783964159852157952242.715...
 5d22  975686344403186930556  975686344406161317638.136...
 6d22 1166671149317708576746 1166671149321358259553.150...
 7d22 1357047080144517060882 1357047080149722276968.433...
 8d22 1546904858094574427441 1546904858098619204959.571...
 9d22 1736311930333612544048 1736311930339431201217.882...
10d22 1925320391606803968923 1925320391614054155138.780...


# li tables generated with keisan.casio and wolframalpha online li calculator
# https://keisan.casio.com/exec/system/1180573428
# https://www.wolframalpha.com/input/?i=li(1e32)
#
# (c) 2023, LingUaan
# Last update made on January 23, 2023

    x                  li(x)
 1d100  43619719871407031590995091132291646115387572117171703030140224030853500384584993091500059589703719 // about 10^97
 1d101  431859599069770507736135908616550181522004910808529255583675415104524906888672994950494825066516498 // about 10^98
 1d102  4276074188927616512055149869829570464328618329070499870733309161886053766650875931319131073495970026 // about 10^99
 1d103  42343815951676369289820592422084489603019011334350597565396379456984180139115060482567834676424768950 // about 10^100 = 1 Googol!
 1d104  419349418789928865624506395628236669345979184695203342660747024072371170723116474005260049070285663482 // about 10^101
 1d105  4153388864593232918878782685235310108017801081281742117782999929274367258424506440475650537024686534625 // about 10^102
 1d106  41140433981777228222913461224426412850795700229272368128724835465697420939236914352693631275458639446618 // about 10^103
 1d107  407543639595832935448001532083513524857364834488717085657363486413181380773505153057049661238061885340471 // about 10^104
 1d108  4037547260829397766153794509258056221575829759414468968383810176205705049833135943017133277669844431866168 // about 10^105
 1d109  40003561546294499174113724446438516921872599472266263296248649436318959493313606421346551843915998702434752 // about 10^106
 1d110  396384396350354039285724718276810751830378952177176092193193981004951732684297879427067599051353084607879135 // about 10^107
 1d111  3927992265145487770691433295147003245495100347233550376787148849080792016556715409475868808408759349565924781 // about 10^108
 1d112  38927832978020161543015450500871402151874256928104329784874793119245552370680965883864355812423999999311319699 // about 10^109
 1d113  385819993092922700725976825605639438503323157793593138957389098825749266715744290261035814577981573544845212083 // about 10^110
 1d114  3824225637399541659218733893994211890254985674211378136872518961505380808223981343997001252098254318452616131853 // about 10^111
 1d115  37908444671643685919753084294154730921446104344765499547035071645016098075490257072979936783756460373795785750545 // about 10^112
 1d116  375804102228430926919343493454952376695570645914189832785049113504576942898850278237235105456218981323670826375129 // about 10^113
 1d117  3725800433244769382266916417042915404385712148209534360406268931480764912088096148851676437173076173388088700571922 // about 10^114
 1d118  36941083364804320417919616383444478688608591688986387094062255045709049624051075578068646876842504574404899673321977 // about 10^115
 1d119  366295085303721474362855198123599492663561111428938916876778139311711268713690687868431575139819077881557305492877060 // about 10^116
 1d120  3632314568305108377770162127480667159328433117952189692396849256330478873726734257052699706358600091630360921946381850 // about 10^117
 1d121  36021865127597163852241615455499724519261809609296205234039828732661015485582334273196215876757960873149696350474449469 // about 10^118
 1d122  357255414365440474144864423171615603636494767347766396258889281344061741695152947085697954347533686867328415381325894119 // about 10^119
 1d123  3543405327608765459700874808243004858541179137623369943005838170544556460555372502225505565182012474622064673899365280827 // about 10^120
 1d124  35147283240426120913179067224581796624906247866537841773068883291866262994476953743175527675523144122319829778148265421868 // about 10^121
 1d125  348651176940798743124230223533727664173124070926219885126544851655007609310797562115300632444231585707991976830599178558429 // about 10^122
 1d126  3458744662174691551551025759130732277733368602265887802713039172773708614396240075236173357784887022699081967707862678567478 // about 10^123
 1d127  34314163485276508598989413831518130409497310465846837111636910518706876238372809569542162672504844536377691058999396346290557 // about 10^124
 1d128  340451650873706299672751899905046755425371226544438064839674957301890946755504014852160232922905703234978451194209361228159107 // about 10^125
 1d129  3378035144164683483169694182268411160432929453179246594492668272548974916648748754829878890471888192469314566273164697089275133 // about 10^126
 1d130  33519625648718822382640153724864210405534102929968605629932518383638085636265758554378226251622818445641438561128372622314718126 // about 10^127
 1d131  332628937779720433644175787233995416755203958727342945691943228207525452792575049584712476625609205271472679337695107145595777704 // about 10^128
 1d132  3301006475473131529533762089797774674836231750828675033614065590620900624630516221292779822590280880598946646987206992702608259269 // about 10^129
 1d133  32761050252535699831622472273889580049924322923150073892147002634396664761372893156355396002954896443508210553434458843856814597422 // about 10^130
 1d134  325157645902529535128519567758697256769818882016547366980875063843750835310751307214304772337353088935476988509792107146882824988905 // about 10^131
 1d135  3227412463378177895205815630729624350158693012255056785649748601291181374096136593756934699251766911477094604181934006577816870574916 // about 10^132
 1d136  32036049702104962615209997664796875191844302508862023069414517395366069539190696908122775858415474556359749334537694391777906571133252 // about 10^133
 1d137  318014614774703650618024819413509100488608560731357921287728951756265138928248579214404008854792787562572640098573404501740212559691057 // about 10^134
 1d138  3157028391948970109081363069348695904089938647704257063224312754869955432944354159791601018963781926671956540258978101017659772091736642 // about 10^135
 1d139  31342443182957176201690619019723227045114058401047178689580394751556683539767192978622543990194625490742417317223608416878910372584326646 // about 10^136
 1d140  311178675392013925187297628554964306725226790617149065914233085692897543904680436805330835208544496492035263520062101980854561009031434753 // about 10^137
 1d141  3089648730079455749400362357068952998478777525056872751991061905258295980572745990089610517066705098704762464179567013924626346451530141105 // about 10^138
 1d142  30678234749452973628600414731987203155860910995367324183104836604580888141573534738491400292537608430923265471389370611642863686732009686991 // about 10^139
 1d143  304630440669721045031657047108006695778263404683270195801258018075153704063865697882404953304069891157897594262025808059412804446494879581499 // about 10^140
 1d144  3025085126904824532553589460754491687427178361153479958727859699433197537838180719792415302484593919072112555850134522084567311508174096613593 // about 10^141
 1d145  30041594141847015396101731053338260350492484834375440848815079456054948810623641557301915408703620553672825662422746202092804643827850692363047 // about 10^142
 1d146  298352121811865727168507938231534788101499840071613183510833209763774503863158088238190364163909320596963204444246639397224073360007756370117458 // about 10^143
 1d147  2963164653421066198024214287188054389425309855040069344860603925370728124293645748092584020400768229525103892983324253550668175099520788537120637 // about 10^144
 1d148  29430839943433378345661746687505309965295174106422066888406199741308377665097697647236815110631132076975964569430765813225770817375679275592358694 // about 10^145
 1d149  292327366930438903528469497021200849065764805107766552049158252403985817374486728624209234598404705554786382617559711478510606738597085593827242675 // about 10^146
 1d150  2903728255736534346416074404628970397529068306125207079032837832579103359056157394245432539008763118364115285476305766869173949863633170832941998201 // about 10^147
 1d151  28844424751367786497499702689137221286704336507147477572461857366726627376126857929739640956072967907729626145010157114878422241992474822926489661201 // about 10^148
 1d152  286541118831402501899420131110072376531331400593466966218116307962994970548252080878488225547620081868299614323205304361202154706431271317115875545515 // about 10^149
 1d153  2846629390823208219962181608396054360521225344864337781567841162752625053823930835877523203922026218071611279582354574902520317519140461391072375243028 // about 10^150
 1d154  28280922085778326322905660494397663902611058741020568789793819797702710982261227569736123159032447263187441916580946210352453334454659659502796430427782 // about 10^151
 1d155  280979489363283444431221738931360036481354642135529388140100550607907723427463274797647065688002667050808097675269215475292394600710233581335435661613745 // about 10^152
 1d156  2791732820130103526899238556302610375463115900139271540907154574772796763558635238835950544928296131559783164903602264165833218213831354896151785996914720 // about 10^153
 1d157  27739014803993920566694554814141338130608945036117510532477680201621759395300806970285592383047657718314101080514770141546107674974260921039280634581116008 // about 10^154
 1d158  275629648120770625022115526900786388983906816019947769101858483625365599174253773710418363938505481786125286104524764573280109343160174984532608611876839482 // about 10^155
 1d159  2738913540150625900129825851808660035943187020063211113924205580009270124326469810286648947395779541693370158816707928172816613406464976939281822352020644007 // about 10^156
 1d160  27217484821793250841250502346736006820072159578913431889992912551378380122539259254944999240654915575896482081300152146962869397625384252532115017367637603406 // about 10^157
----- ---------------------- -----------------------------

# EOF
